id,trt,add,add_new,rdp,epa,District,section,UTM_flsE,UTM_flsN,y95_96,mz_var,lite_txt,sitegrp,yield,N,P2O5,S,Nsq
710236,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71023,726100,8278700,1995/96,MH18,medium,Lower Shire valley,1809.52193,35,10,2,1225
710246,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71024,707100,8270300,1995/96,MH18,medium,Lower Shire valley,859.065965,35,0,0,1225
710246,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71024,707100,8270300,1995/96,MH18,medium,Lower Shire valley,2156.80403,35,10,2,1225
710276,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71027,715500,8267500,1995/96,MH18,medium,Lower Shire valley,1772.96597,35,0,0,1225
710276,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71027,715500,8267500,1995/96,MH18,medium,Lower Shire valley,3527.65386,35,10,2,1225
710286,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71028,720300,8287600,1995/96,MH18,medium,Lower Shire valley,1827.8,35,0,0,1225
710286,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71028,720300,8287600,1995/96,MH18,medium,Lower Shire valley,2814.81193,35,10,2,1225
710048,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71004,702900,8276100,1997/98,MH18,light,Lower Shire valley,3966.32614,69,21,4,4761
710058,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71005,710600,8287800,1997/98,MH18,medium,Lower Shire valley,2229.91597,69,21,4,4761
710088,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71008,710600,8270600,1997/98,MH18,light,Lower Shire valley,3088.98193,69,21,4,4761
710098,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71009,699500,8267600,1997/98,MH18,light,Lower Shire valley,2540.64193,69,21,4,4761
710108,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71010,717600,8293300,1997/98,MH18,medium,Lower Shire valley,1827.8,69,21,4,4761
710118,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71011,717600,8293300,1997/98,MH18,medium,Lower Shire valley,1005.29,69,21,4,4761
710128,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71012,717300,8284200,1997/98,MH18,light,Lower Shire valley,1224.62597,69,21,4,4761
710138,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71013,716400,8288800,1997/98,MH18,medium,Lower Shire valley,4021.16,69,21,4,4761
710158,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71015,715200,8268900,1997/98,MH18,medium,Lower Shire valley,1900.91193,69,21,4,4761
710168,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71016,723400,8272300,1997/98,MH18,medium,Lower Shire valley,2741.7,69,21,4,4761
710178,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71017,717100,8275200,1997/98,MH18,light,Lower Shire valley,822.51,69,21,4,4761
710188,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71018,716900,8275200,1997/98,MH18,light,Lower Shire valley,1188.07,69,21,4,4761
710198,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71019,704600,8297500,1997/98,MH18,light,Lower Shire valley,3399.70807,69,21,4,4761
710208,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71020,714100,8278400,1997/98,MH18,medium,Lower Shire valley,3070.70386,69,21,4,4761
710218,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71021,709700,8282900,1997/98,MH18,medium,Lower Shire valley,2376.14,69,21,4,4761
710248,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71024,707100,8270300,1997/98,MH18,medium,Lower Shire valley,1316.01597,69,21,4,4761
710258,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71025,707100,8270300,1997/98,MH18,medium,Lower Shire valley,2632.03193,69,21,4,4761
710268,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71026,707100,8270300,1997/98,MH18,light,Lower Shire valley,2833.09,69,21,4,4761
710278,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71027,715500,8267500,1997/98,MH18,medium,Lower Shire valley,1645.02,69,21,4,4761
710288,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71028,720300,8287600,1997/98,MH18,medium,Lower Shire valley,2101.97,69,21,4,4761
710016,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71001,723900,8275200,1995/96,MH18,medium,Lower Shire valley,3838.38,69,21,4,4761
710046,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71004,702900,8276100,1995/96,MH18,light,Lower Shire valley,5026.45,69,21,4,4761
710056,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71005,710600,8287800,1995/96,composite,light,Lower Shire valley,2193.36,69,21,4,4761
710066,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71006,712600,8286400,1995/96,MH18,light,Lower Shire valley,3015.87,69,21,4,4761
710076,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71007,710600,8270600,1995/96,MH18,medium,Lower Shire valley,2010.58,69,21,4,4761
710096,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71009,699500,8267600,1995/96,MH18,light,Lower Shire valley,2961.03614,69,21,4,4761
710106,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71010,717600,8293300,1995/96,MH18,light,Lower Shire valley,1462.24,69,21,4,4761
710126,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71012,717300,8284200,1995/96,MH18,light,Lower Shire valley,3015.87,69,21,4,4761
710136,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71013,716400,8288800,1995/96,MH18,medium,Lower Shire valley,3856.65807,69,21,4,4761
710146,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71014,706900,8272400,1995/96,MH18,medium,Lower Shire valley,2979.31386,69,21,4,4761
710156,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71015,715200,8268900,1995/96,MH18,medium,Lower Shire valley,2522.36403,69,21,4,4761
710166,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71016,723400,8272300,1995/96,MH18,light,Lower Shire valley,2467.53,69,21,4,4761
710176,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71017,717100,8275200,1995/96,MH18,light,Lower Shire valley,2787.395,69,21,4,4761
710186,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71018,716900,8275200,1995/96,MH18,light,Lower Shire valley,3929.77,69,21,4,4761
710196,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71019,704600,8297500,1995/96,MH18,medium,Lower Shire valley,2321.30597,69,21,4,4761
710206,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71020,714100,8278400,1995/96,MH18,medium,Lower Shire valley,2376.14,69,21,4,4761
710216,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71021,709700,8282900,1995/96,MH18,light,Lower Shire valley,2741.7,69,21,4,4761
710236,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71023,726100,8278700,1995/96,MH18,medium,Lower Shire valley,2668.58807,69,21,4,4761
710246,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71024,707100,8270300,1995/96,MH18,medium,Lower Shire valley,1114.95798,69,21,4,4761
710276,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71027,715500,8267500,1995/96,MH18,medium,Lower Shire valley,3838.38,69,21,4,4761
710286,69:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71028,720300,8287600,1995/96,MH18,medium,Lower Shire valley,3107.26,69,21,4,4761
710048,92:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71004,702900,8276100,1997/98,MH18,light,Lower Shire valley,4075.99386,92,21,4,8464
710058,92:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71005,710600,8287800,1997/98,MH18,medium,Lower Shire valley,3015.87,92,21,4,8464
710088,92:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71008,710600,8270600,1997/98,MH18,light,Lower Shire valley,3052.42614,92,21,4,8464
710098,92:21:0+4S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71009,699500,8267600,1997/98,MH18,light,Lower Shire valley,3015.87,92,21,4,8464
